Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
BBQ Pork Buns,16,$240.51,$21.80,$56.00,5%,6%,77%
Harry's Lager - Pint,15,$184.00,$16.78,$33.98,5%,4%,82%
Tonkotsu,13,$348.00,$31.68,$54.13,4%,8%,84%
Chicken Karaage,10,$170.00,$15.50,$0.00,3%,4%,0%
Sapporo - 500ml,10,$125.70,$11.44,$37.40,3%,3%,70%
Dumplings - Beef & Cabbage,10,$140.00,$12.70,$14.74,3%,3%,89%
Shredded Beef,9,$235.78,$21.40,$0.00,3%,6%,0%
1/2 Marinated Egg,9,$16.00,$1.44,$0.00,3%,0%,0%
Dumplings - Prawn Har Gow [GF],9,$168.10,$15.31,$39.72,3%,4%,76%
Sapporo - Schooner,8,$98.00,$8.90,$25.43,3%,2%,74%
Mie Goreng,8,$182.70,$16.60,$25.46,3%,4%,86%
Chicken,7,$26.60,$2.40,$0.00,2%,1%,0%
Shoyu,7,$203.00,$18.48,$0.00,2%,5%,0%
Edamame,7,$75.90,$6.90,$0.00,2%,2%,0%
Harry's Lager - Schooner,7,$60.55,$5.49,$11.82,2%,1%,80%
Fried Rice,7,$162.79,$14.79,$18.76,2%,4%,88%
Dumplings - Veg Gyoza,7,$98.00,$8.89,$13.73,2%,2%,86%
Chicken Katsu Curry,6,$163.93,$14.89,$17.14,2%,4%,90%
Devon's Prawn Toast,6,$96.00,$8.70,$23.33,2%,2%,76%
River Retreat Pinot Grigio - Regular,6,$49.40,$4.51,$12.06,2%,1%,76%
Popcorn Cauliflower,5,$75.52,$6.84,$4.89,2%,2%,94%
Classic Margarita,5,$80.00,$7.27,$16.63,2%,2%,79%
Pepsi Max Glass,5,$22.50,$2.05,$6.55,2%,1%,71%
Black Garlic Oil,5,$8.00,$0.72,$0.00,2%,0%,0%
Duck Spring Roll,5,$80.55,$7.31,$17.86,2%,2%,78%
From Sundays Shiraz - Regular,4,$60.00,$5.44,$11.20,1%,1%,81%
Buttermilk Chicken,4,$61.20,$5.58,$0.00,1%,1%,0%
Jasmine Rice,3,$15.00,$1.35,$0.00,1%,0%,0%
Drunken Koi,3,$49.00,$4.45,$7.96,1%,1%,84%
Crouching Tiger,3,$42.00,$3.81,$12.33,1%,1%,71%
Two Bays GF Rice Lager Can [HG],3,$42.00,$3.81,$14.97,1%,1%,64%
Miso,3,$87.00,$7.92,$0.00,1%,2%,0%
Trutta Streamside Shiraz - Regular [HG],3,$48.00,$4.35,$10.83,1%,1%,77%
Negroni,2,$28.00,$2.54,$9.59,1%,1%,66%
Aperol Spritz,2,$33.00,$3.00,$7.41,1%,1%,78%
River Retreat Pinot Grigio - Bottle,2,$98.00,$8.90,$20.10,1%,2%,79%
Open Price,2,$48.00,$4.37,$0.00,1%,1%,0%
2 Glasses,2,$0.00,$0.00,$0.00,1%,0%,0%
Nuggets & Chips [HG],2,$26.00,$2.36,$0.00,1%,1%,0%
3 Glasses,2,$0.00,$0.00,$0.00,1%,0%,0%
Chilli Bomb,2,$4.00,$0.36,$0.00,1%,0%,0%
GFO [GF Ramen Noodles],2,$6.00,$0.54,$0.00,1%,0%,0%
Demon Slayer,2,$28.00,$2.54,$7.47,1%,1%,73%
BBQ Meat Platter,2,$80.00,$7.28,$0.00,1%,2%,0%
Soda & Lime Glass,1,$3.00,$0.27,$0.00,0%,0%,0%
Pink Lemonade Glass,1,$4.50,$0.41,$0.00,0%,0%,0%
Beef Burger [HG],1,$26.00,$2.36,$5.00,0%,1%,81%
Saika Junmai Daiginjo - 60ml,1,$13.00,$1.18,$3.67,0%,0%,72%
Stowaway Open Food,1,$0.00,$0.00,$0.00,0%,0%,0%
Virgin Margy,1,$13.00,$1.18,$0.00,0%,0%,0%
Pepsi Glass,1,$4.50,$0.41,$1.31,0%,0%,71%
Jinro Strawberry - 60ml,1,$9.00,$0.82,$1.93,0%,0%,79%
Cucumber,1,$0.00,$0.00,$0.00,0%,0%,0%
Vegetarian Spring Rolls,1,$14.00,$1.27,$1.65,0%,0%,88%
Vegan Cheese [Pizza],1,$2.70,$0.24,$0.00,0%,0%,0%
Tonic,1,$0.00,$0.00,$0.80,0%,0%,
Black Mushroom,1,$2.00,$0.18,$0.00,0%,0%,0%
Dragon Soda,1,$9.00,$0.82,$0.00,0%,0%,0%
Remove Black Mushroom,1,$0.00,$0.00,$0.00,0%,0%,0%
Angas & Bremer Grenache - Regular,1,$7.00,$0.64,$1.75,0%,0%,75%
