Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Dumplings - Prawn Har Gow [GF],14,$260.00,$23.68,$61.79,7%,9%,76%
1/2 Marinated Egg,11,$22.00,$1.98,$0.00,6%,1%,0%
Tonkotsu,11,$319.00,$29.04,$45.80,6%,11%,86%
Miso,9,$261.00,$23.76,$0.00,5%,9%,0%
Devon's Prawn Toast,8,$128.00,$11.60,$31.10,4%,4%,76%
Sapporo - 500ml,8,$108.00,$9.82,$29.68,4%,4%,73%
Mie Goreng,7,$141.00,$12.81,$22.28,4%,5%,84%
Duck Spring Roll,6,$96.00,$8.70,$21.43,3%,3%,78%
Dumplings - Beef & Cabbage,6,$84.00,$7.62,$8.84,3%,3%,89%
Margato,6,$120.00,$10.92,$23.09,3%,4%,81%
Shredded Beef,5,$130.00,$11.80,$0.00,3%,4%,0%
Chicken Karaage,5,$85.00,$7.75,$0.00,3%,3%,0%
Popcorn Cauliflower,5,$73.00,$6.62,$4.89,3%,2%,93%
Fried Egg,5,$14.50,$1.32,$0.00,3%,0%,0%
GFO [GF Ramen Noodles],5,$15.00,$1.35,$0.00,3%,1%,0%
Classic Margarita,4,$56.00,$5.08,$13.08,2%,2%,77%
Azurescens Pinot Noir - Regular,4,$60.00,$5.44,$11.20,2%,2%,81%
Chicken,4,$12.00,$1.08,$0.00,2%,0%,0%
Chilli Bomb,4,$8.00,$0.72,$0.00,2%,0%,0%
BBQ Meat Platter,4,$160.00,$14.56,$0.00,2%,5%,0%
BBQ Pork Buns,3,$45.00,$4.08,$10.50,2%,2%,77%
Angas & Bremer Rosé - Regular,3,$26.00,$2.37,$5.26,2%,1%,80%
Shoyu,3,$87.00,$7.92,$0.00,2%,3%,0%
Jasmine Rice,3,$15.00,$1.35,$0.00,2%,1%,0%
Kids Shoyu,3,$39.00,$3.54,$0.00,2%,1%,0%
Fried Rice,2,$46.00,$4.18,$5.36,1%,2%,88%
River Retreat Pinot Grigio - Bottle,2,$98.00,$8.90,$20.10,1%,3%,79%
Demon Slayer,2,$35.00,$3.18,$7.47,1%,1%,79%
Harry's Lager - Pint,2,$21.50,$1.96,$4.22,1%,1%,80%
Drunken Koi,2,$42.00,$3.82,$5.31,1%,1%,87%
Glass of Ice on the Side,2,$0.00,$0.00,$0.00,1%,0%,0%
Dumplings - Veg Gyoza,2,$28.00,$2.54,$3.92,1%,1%,86%
Lychee Martini,2,$33.00,$3.00,$6.28,1%,1%,81%
Swap for Tofu [Make it Vegan],2,$0.00,$0.00,$0.00,1%,0%,0%
Padrillos Malbec - Regular,2,$36.00,$3.28,$7.13,1%,1%,80%
Aperol Spritz,2,$38.00,$3.46,$6.89,1%,1%,82%
Black Garlic Oil,2,$4.00,$0.36,$0.00,1%,0%,0%
Extra Noodles,1,$3.00,$0.27,$0.00,1%,0%,0%
Dragon Juice,1,$17.00,$1.55,$2.59,1%,1%,85%
Two Bays GF Rice Lager Can [HG],1,$14.00,$1.27,$4.99,1%,0%,64%
Swap for Chicken,1,$0.00,$0.00,$0.00,1%,0%,0%
Pepsi Max Glass,1,$4.50,$0.41,$1.31,1%,0%,71%
Sapporo - Schooner,1,$13.00,$1.18,$3.15,1%,0%,76%
On the Rocks,1,$0.00,$0.00,$0.00,1%,0%,0%
Kids Fried Rice,1,$13.00,$1.18,$0.00,1%,0%,0%
Corn,1,$1.00,$0.09,$0.00,1%,0%,0%
Espresso Martini,1,$14.00,$1.27,$2.93,1%,0%,79%
Swap for Tofu,1,$0.00,$0.00,$0.00,1%,0%,0%
3 Glasses,1,$0.00,$0.00,$0.00,1%,0%,0%
Mochi Trio,1,$13.00,$1.18,$0.00,1%,0%,0%
Extra Pork.,1,$5.00,$0.45,$0.00,1%,0%,0%
Crouching Tiger,1,$21.00,$1.91,$4.11,1%,1%,80%
2 Glasses,1,$0.00,$0.00,$0.00,1%,0%,0%
Chicken Katsu Curry,1,$28.00,$2.55,$2.86,1%,1%,90%
Gluten-Free,1,$0.00,$0.00,$0.00,1%,0%,0%
Lots of Ice,1,$0.00,$0.00,$0.00,1%,0%,0%
Soda & Lime Glass,1,$3.00,$0.27,$0.00,1%,0%,0%
River Retreat Pinot Grigio - Large,1,$21.00,$1.91,$3.35,1%,1%,84%
Pepsi Glass,1,$4.50,$0.41,$1.31,1%,0%,71%
Edamame,1,$11.00,$1.00,$0.00,1%,0%,0%
Asahi 3.5%,1,$11.00,$1.00,$2.33,1%,0%,79%
Carafe Sparkling Water,1,$5.00,$0.45,$0.00,1%,0%,0%
Extra BBQ Wagyu,1,$15.00,$1.36,$0.00,1%,1%,0%
Vegetarian Spring Rolls,1,$14.00,$1.27,$1.65,1%,0%,88%
Saika Junmai Daiginjo - 60ml,1,$13.00,$1.18,$3.67,1%,0%,72%
,198,"$2,990.00",$271.75,$389.88,100%,100%,87%
