Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,9,$9.74,$0.00,$0.00,7%,1%,0%
Garlic Bread,8,$31.70,$2.89,$11.36,6%,2%,64%
Large Pepperoni,8,$155.25,$14.11,$36.52,6%,9%,76%
Regular Super House Special,4,$99.59,$9.04,$22.11,3%,6%,78%
Add Chilli,4,$4.40,$0.40,$0.00,3%,0%,0%
Regular Margherita,4,$34.90,$3.18,$4.92,3%,2%,86%
Large Meatlovers,4,$91.08,$8.28,$27.82,3%,5%,69%
Large Super House Special,4,$120.67,$10.97,$30.88,3%,7%,74%
Large Sorrento,3,$93.39,$8.49,$21.52,2%,5%,77%
Delivery Fee - Freshwater / Queenscliff,3,$16.00,$1.45,$0.00,2%,1%,0%
Add Mushrooms,3,$4.95,$0.45,$0.00,2%,0%,0%
$45 FEAST,3,$148.50,$13.50,$0.00,2%,8%,0%
Coke Zero 1.25L,3,$20.70,$1.89,$9.87,2%,1%,52%
Online Discount,2,-$36.47,$0.00,$0.00,2%,-2%,0%
Add Tandoori Chicken,2,$8.94,$0.81,$0.00,2%,1%,0%
Large Cosmopolitan,2,$29.59,$2.69,$13.22,2%,2%,55%
Large Tandoori Chicken,2,$30.14,$2.74,$6.42,2%,2%,79%
Delivery Fee - Curl Curl / Manly / Dee Why,2,$14.30,$1.30,$0.00,2%,1%,0%
Regular Sanchez [Dine-in],2,$59.08,$5.38,$6.79,2%,3%,89%
Gluten-free Margherita,2,$29.90,$2.72,$12.16,2%,2%,59%
Large Roma Special,2,$30.14,$2.74,$11.26,2%,2%,63%
Bundaberg Ginger Beer D,2,$15.80,$1.44,$6.60,2%,1%,58%
Add Pineapple,2,$3.30,$0.30,$0.00,2%,0%,0%
Large Hawaiian,2,$43.78,$3.98,$6.53,2%,2%,85%
Add Onion,2,$1.65,$0.15,$0.00,2%,0%,0%
Add Spanish Onion,2,$3.30,$0.30,$0.00,2%,0%,0%
Regular Uber Margherita [Dine-in],2,$52.25,$4.75,$6.39,2%,3%,88%
Regular Cosmopolitan,2,$43.78,$3.98,$9.47,2%,2%,78%
Large BBQ Chicken Pizza,2,$29.90,$2.72,$8.34,2%,2%,72%
Cheesy Garlic Bread,2,$19.80,$1.80,$3.55,2%,1%,82%
Large Margherita,2,$41.79,$3.80,$4.59,2%,2%,89%
Family Hail Africa,1,$32.89,$2.99,$0.00,1%,2%,0%
Large Half/Half,1,$2.20,$0.20,$0.00,1%,0%,0%
Add Bacon,1,$4.40,$0.40,$0.00,1%,0%,0%
Large New Yorker,1,$0.00,$0.00,$5.01,1%,0%,
Regular Paddock,1,$25.00,$2.27,$3.10,1%,1%,88%
Family Uber Margherita,1,$31.79,$2.89,$0.00,1%,2%,0%
Large Little Italy,1,$31.00,$2.82,$8.84,1%,2%,71%
Regular Hawaiian,1,$19.90,$1.81,$1.25,1%,1%,94%
Garlic  Bread,1,$0.00,$0.00,$1.42,1%,0%,
Add BBQ Sauce,1,$1.65,$0.15,$0.00,1%,0%,0%
WINGS DEAL,1,$33.00,$3.00,$0.00,1%,2%,0%
Add Fetta,1,$3.30,$0.30,$0.00,1%,0%,0%
Regular Little Italy,1,$0.00,$0.00,$4.80,1%,0%,
Large Sanchez,1,$0.00,$0.00,$5.49,1%,0%,
Add Pepperoni,1,$3.30,$0.30,$0.00,1%,0%,0%
Large Uber Margherita,1,$0.00,$0.00,$4.46,1%,0%,
Add Chicken,1,$4.40,$0.40,$0.00,1%,0%,0%
Large Truffalo Soldier,1,$0.00,$0.00,$4.56,1%,0%,
Gluten-free Meatlovers,1,$26.29,$2.39,$9.42,1%,1%,64%
Family Vegetarian,1,$31.79,$2.89,$0.00,1%,2%,0%
Regular Bubba Gump [Dine-in],1,$28.60,$2.60,$3.96,1%,2%,86%
Online Rounding,1,$0.01,$0.00,$0.00,1%,0%,0%
Regular Pepperoni,1,$22.00,$2.00,$2.13,1%,1%,90%
Add Anchovies,1,$0.00,$0.00,$0.00,1%,0%,0%
Regular Garlic Cheese Pizza,1,$14.74,$1.34,$1.39,1%,1%,91%
Regular Sorrento,1,$25.90,$2.35,$4.11,1%,1%,84%
Family Pepperoni,1,$27.39,$2.49,$0.00,1%,2%,0%
Regular Tandoori Chicken,1,$20.79,$1.89,$2.30,1%,1%,89%
Choc  Brownie,1,$0.00,$0.00,$1.95,1%,0%,
Add Calabrese,1,$4.40,$0.40,$0.00,1%,0%,0%
Feast Deal Pizzas,1,$49.50,$4.50,$0.00,1%,3%,0%
Regular Bubba Gump,1,$0.00,$0.00,$3.96,1%,0%,
Regular Jimmy Jury [Dine-in],1,$29.70,$2.70,$3.34,1%,2%,89%
"Regular No Chorizo, No Cry [Dine-in]",1,$29.53,$2.68,$2.50,1%,2%,92%
Add Garlic Base,1,$1.65,$0.15,$0.00,1%,0%,0%
Add Bocconcini,1,$3.30,$0.30,$0.00,1%,0%,0%
Regular Hail Africa [Dine-in],0,$0.00,$0.00,$0.00,0%,0%,0%
,132,"$1,760.26",$162.46,$334.31,100%,100%,81%
