Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Garlic Bread,9,$18.80,$1.71,$12.78,11%,2%,32%
Regular Little Italy [Dine-in],4,$105.70,$9.60,$19.90,5%,9%,81%
Large Margherita,4,$43.80,$3.98,$10.31,5%,4%,76%
Regular Pepperoni,4,$78.80,$7.16,$9.20,5%,6%,88%
Online Surcharge,4,$4.03,$0.00,$0.00,5%,0%,0%
Large Super House Special,4,$122.60,$11.15,$30.93,5%,10%,75%
Large Hawaiian,4,$45.80,$4.16,$13.10,5%,4%,71%
Large Pepperoni,2,$45.80,$4.16,$9.69,2%,4%,79%
Under the Bridge Pizza,2,$53.70,$4.87,$8.68,2%,4%,84%
Regular El Patron [Dine-in],2,$53.70,$4.87,$7.58,2%,4%,86%
Peroni D,2,$12.00,$1.10,$5.12,2%,1%,57%
Cheesy Garlic Bread,2,$19.80,$1.80,$3.55,2%,2%,82%
$45 FEAST,2,$90.00,$8.18,$0.00,2%,7%,0%
Large Meatlovers,2,$31.90,$2.90,$14.47,2%,3%,55%
Regular Super House Special,2,$51.80,$4.70,$11.07,2%,4%,79%
"Large No Chorizo, No Cry",2,$26.90,$2.45,$11.76,2%,2%,56%
Sprite Can,2,$7.80,$0.70,$3.80,2%,1%,51%
Regular Margherita,1,$17.90,$1.63,$1.40,1%,1%,92%
Large Cosmopolitan,1,$31.90,$2.90,$6.61,1%,3%,79%
Sprite 1.25L,1,$0.00,$0.00,$4.27,1%,0%,
Gluten-free Meatlovers,1,$23.90,$2.17,$9.62,1%,2%,60%
Add Pineapple,1,$1.55,$0.15,$0.00,1%,0%,0%
Large Vegetarian,1,$0.00,$0.00,$4.13,1%,0%,
Solo 1.25L,1,$6.90,$0.63,$2.03,1%,1%,71%
Add Chilli,1,$0.00,$0.00,$0.00,1%,0%,0%
Regular Jimmy Jury [Dine-in],1,$27.89,$2.53,$3.51,1%,2%,87%
Coke Can,1,$3.90,$0.35,$1.89,1%,0%,52%
Coke 1.25L,1,$6.90,$0.63,$3.69,1%,1%,47%
Add Ham,1,$3.00,$0.27,$0.00,1%,0%,0%
Delivery Fee - Curl Curl / Manly / Dee Why,1,$6.50,$0.59,$0.00,1%,1%,0%
Regular New Yorker [Dine-in],1,$24.78,$2.25,$3.79,1%,2%,85%
Large Roma Special,1,$29.90,$2.72,$5.89,1%,2%,80%
Regular Sanchez [Dine-in],1,$26.85,$2.43,$3.56,1%,2%,87%
Regular Cosmopolitan,1,$19.90,$1.81,$4.73,1%,2%,76%
Add Cherry Tomatoes,1,$1.50,$0.14,$0.00,1%,0%,0%
Regular BBQ Chicken Pizza,1,$23.90,$2.17,$3.17,1%,2%,87%
Add Garlic,1,$1.50,$0.14,$0.00,1%,0%,0%
Regular Little Italy,1,$25.90,$2.35,$4.98,1%,2%,81%
Large Tandoori Chicken,1,$2.50,$0.23,$3.49,1%,0%,-40%
Gluten-free Little Italy,1,$23.90,$2.17,$10.97,1%,2%,54%
Add Mushrooms,1,$1.50,$0.14,$0.00,1%,0%,0%
Vegan Cheese,1,$3.00,$0.27,$0.00,1%,0%,0%
Add Jalapenos,1,$1.50,$0.14,$0.00,1%,0%,0%
Regular The Paddock [Dine-in],1,$26.00,$2.36,$3.24,1%,2%,88%
Large Half/Half,1,$2.00,$0.18,$0.00,1%,0%,0%
$60 BANQUET,1,$60.00,$5.45,$0.00,1%,5%,0%
Large Hail Africa,1,$0.00,$0.00,$6.38,1%,0%,
Large Paddock,1,$0.00,$0.00,$5.36,1%,0%,
Add Olives,1,$1.50,$0.14,$0.00,1%,0%,0%
,85,"$1,219.40",$110.43,$264.65,100%,100%,78%
