Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,10,$11.41,$0.00,$0.00,9%,1%,0%
Garlic Bread,5,$24.00,$2.18,$7.10,4%,1%,70%
Large Hawaiian,5,$122.00,$11.10,$16.31,4%,7%,87%
Online Discount,4,-$58.30,$0.00,$0.00,4%,-4%,0%
Large Margherita,4,$73.00,$6.64,$9.19,4%,4%,87%
Large Super House Special,4,$127.60,$11.60,$30.88,4%,8%,76%
Cheesy Garlic Bread,3,$21.20,$1.93,$5.32,3%,1%,75%
"Regular No Chorizo, No Cry [Dine-in]",3,$84.80,$7.70,$7.51,3%,5%,91%
Coke Can,3,$4.00,$0.36,$5.67,3%,0%,-42%
Large Pepperoni,3,$78.00,$7.10,$13.69,3%,5%,82%
Large Meatlovers,3,$61.60,$5.60,$20.87,3%,4%,66%
Regular Cosmopolitan,3,$64.35,$5.85,$14.20,3%,4%,78%
.Garlic Bread,2,$0.00,$0.00,$2.84,2%,0%,
Regular BBQ Chicken Pizza,2,$45.95,$4.18,$5.97,2%,3%,87%
Add Fetta,2,$6.71,$0.61,$0.00,2%,0%,0%
Fellr Watermelon Seltzer Seltzer 4-pack D,2,$37.39,$3.40,$27.28,2%,2%,27%
Regular Little Italy,2,$42.90,$3.90,$9.61,2%,3%,78%
Large BBQ Chicken Pizza,2,$30.00,$2.73,$8.34,2%,2%,72%
Regular Hail Africa [Dine-in],2,$61.34,$5.57,$5.82,2%,4%,91%
Banquet Deal Pizzas,2,$132.00,$12.00,$0.00,2%,8%,0%
Delivery Fee - Curl Curl / Manly / Dee Why,2,$14.30,$1.30,$0.00,2%,1%,0%
Corona 6-pack D,2,$49.50,$4.50,$30.92,2%,3%,38%
Regular Little Italy [Dine-in],2,$58.14,$5.29,$9.61,2%,4%,83%
Add Bacon,2,$4.40,$0.40,$0.00,2%,0%,0%
BBQ Chicken.,2,$0.00,$0.00,$0.00,2%,0%,0%
Regular Garlic Cheese Pizza,2,$23.85,$2.17,$2.78,2%,1%,88%
Large Vegetarian,2,$0.00,$0.00,$8.23,2%,0%,
Kuku Sauvignon Blanc D,1,$30.80,$2.80,$14.57,1%,2%,53%
Large Sorrento,1,$30.00,$2.73,$7.17,1%,2%,76%
Regular Hawaiian,1,$22.00,$2.00,$1.25,1%,1%,94%
Regular Pepperoni,1,$22.00,$2.00,$2.13,1%,1%,90%
Regular Margherita,1,$0.00,$0.00,$1.23,1%,0%,
Add Chilli,1,$1.10,$0.10,$0.00,1%,0%,0%
Add Pesto,1,$0.00,$0.00,$0.00,1%,0%,0%
Regular Meatlovers,1,$25.00,$2.27,$4.98,1%,2%,80%
.1.25L Coke Zero,1,$0.00,$0.00,$3.39,1%,0%,
Large Cosmopolitan,1,$32.00,$2.91,$6.61,1%,2%,79%
$45 FEAST,1,$49.50,$4.50,$0.00,1%,3%,0%
Add Pepperoni,1,$3.30,$0.30,$0.00,1%,0%,0%
Btl Version 2 Pinot Grigio D,1,$24.75,$2.25,$8.83,1%,1%,64%
Large Sanchez VEGAN,1,$0.00,$0.00,$4.22,1%,0%,
Large New Yorker,1,$29.70,$2.70,$5.01,1%,2%,83%
Gluten-free Margherita,1,$6.00,$0.55,$6.08,1%,0%,-1%
Add Olives,1,$1.65,$0.15,$0.00,1%,0%,0%
Add Ham,1,$3.30,$0.30,$0.00,1%,0%,0%
.1.25L Coke,1,$0.00,$0.00,$3.69,1%,0%,
Regular Sanchez,1,$25.00,$2.27,$3.39,1%,2%,86%
Regular El Patron [Dine-in],1,$29.54,$2.70,$3.64,1%,2%,88%
Regular Truffalo Soldier [Dine-in],1,$28.60,$2.60,$3.27,1%,2%,89%
Delivery Fee - Freshwater / Queenscliff,1,$5.50,$0.50,$0.00,1%,0%,0%
Large Little Italy,1,$29.70,$2.70,$8.84,1%,2%,70%
Regular Super House Special,1,$21.45,$1.95,$5.53,1%,1%,74%
Axl Rose Pizza,1,$29.54,$2.69,$0.00,1%,2%,0%
Regular Paddock,1,$21.45,$1.95,$3.10,1%,1%,86%
Add Anchovies,1,$2.20,$0.20,$0.00,1%,0%,0%
Add Pineapple,1,$1.65,$0.15,$0.00,1%,0%,0%
Regular Jimmy Jury [Dine-in],1,$30.68,$2.80,$3.34,1%,2%,89%
Regular Uber Margherita [Dine-in],1,$26.13,$2.38,$3.19,1%,2%,88%
Vegan Cheese [Pizza],1,$0.00,$0.00,$0.00,1%,0%,0%
,112,"$1,652.68",$154.56,$345.61,100%,100%,79%
