,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Non-alcoholic,19,Stowaway Bar,2026-08-05,,$15.44,$17.00
2,Red Wine,19,Stowaway Bar,2026-08-05,,$68.17,$75.00
3,Rose Wine,19,Stowaway Bar,2026-08-05,,$58.20,$64.00
4,Marilyna's Pizza,18,Stowaway Bar,2026-08-05,,$139.55,$153.50
5,None,17,Stowaway Bar,2026-08-05,,$3.64,$4.00
6,White Wine,17,Stowaway Bar,2026-08-05,,$40.01,$44.00
7,Rose Wine,18,Stowaway Bar,2026-08-05,,$14.55,$16.00
8,Delivery Kitchen,20,Stowaway Bar,2026-08-05,,$27.19,$29.90
9,Delivery Kitchen,18,Stowaway Bar,2026-08-05,,$0.00,$0.00
10,Add-ons - Kitchen,17,Stowaway Bar,2026-08-05,,$1.82,$2.00
11,Cocktails - Classic,16,Stowaway Bar,2026-08-05,,$25.46,$28.00
12,Tap Beer,16,Stowaway Bar,2026-08-05,,$59.09,$65.00
13,Tap Beer,15,Stowaway Bar,2026-08-05,,$15.91,$17.50
14,Small Plates,16,Stowaway Bar,2026-08-05,,$30.00,$33.00
15,Big Plates,17,Stowaway Bar,2026-08-05,,$157.07,$172.80
16,Desserts,18,Stowaway Bar,2026-08-05,,$10.91,$12.00
17,Cocktails - Classic,20,Stowaway Bar,2026-08-05,,$62.73,$69.00
18,Cocktails - Classic,19,Stowaway Bar,2026-08-05,,$62.73,$69.00
19,Bottles / Cans Alcoholic,18,Stowaway Bar,2026-08-05,,$19.10,$21.00
20,Tap Beer,20,Stowaway Bar,2026-08-05,,$72.28,$79.50
21,Cocktails - Classic,18,Stowaway Bar,2026-08-05,,$73.63,$81.00
22,None,16,Stowaway Bar,2026-08-05,,$0.00,$0.00
23,Dine-in Pizza,22,Stowaway Bar,2026-08-05,,$144.55,$159.00
24,Dine-in Pizza,18,Stowaway Bar,2026-08-05,,$23.64,$26.00
25,Salads,17,Stowaway Bar,2026-08-05,,$22.64,$24.90
26,Sides,19,Stowaway Bar,2026-08-05,,$10.91,$12.00
27,Cocktails - Signature,16,Stowaway Bar,2026-08-05,,$13.64,$15.00
28,Sparkling Wine,19,Stowaway Bar,2026-08-05,,$58.18,$64.00
29,Big Plates,18,Stowaway Bar,2026-08-05,,$428.04,$470.80
30,Red Wine,18,Stowaway Bar,2026-08-05,,$111.81,$123.00
31,White Wine,16,Stowaway Bar,2026-08-05,,$44.55,$49.00
32,Cocktails - Signature,17,Stowaway Bar,2026-08-05,,$54.56,$60.00
33,Sparkling Wine,18,Stowaway Bar,2026-08-05,,$14.55,$16.00
34,Small Plates,18,Stowaway Bar,2026-08-05,,$35.36,$38.90
35,Kids Meals,18,Stowaway Bar,2026-08-05,,$23.64,$26.00
36,Add-ons - Kitchen,19,Stowaway Bar,2026-08-05,,$12.75,$14.00
37,Vodka,17,Stowaway Bar,2026-08-05,,$20.00,$22.00
38,White Wine,19,Stowaway Bar,2026-08-05,,$102.73,$113.00
39,Add-ons - Kitchen,18,Stowaway Bar,2026-08-05,,$5.43,$6.00
40,Add-ons - Bar,17,Stowaway Bar,2026-08-05,,$0.00,$0.00
41,Delivery Kitchen,16,Stowaway Bar,2026-08-05,,$45.45,$50.00
42,Modifiers,16,Stowaway Bar,2026-08-05,,$0.00,$0.00
43,Modifiers,19,Stowaway Bar,2026-08-05,,$0.00,$0.00
44,Kids Meals,16,Stowaway Bar,2026-08-05,,$11.82,$13.00
45,Bottles / Cans Alcoholic,19,Stowaway Bar,2026-08-05,,$19.10,$21.00
46,Gin,19,Stowaway Bar,2026-08-05,,$20.00,$22.00
47,White Wine,18,Stowaway Bar,2026-08-05,,$172.74,$190.00
48,Dine-in Pizza,19,Stowaway Bar,2026-08-05,,$96.37,$106.00
49,Tap Beer,19,Stowaway Bar,2026-08-05,,$155.49,$171.00
50,Tap Beer,18,Stowaway Bar,2026-08-05,,$417.30,$459.00
51,Kitchen Specials,18,Stowaway Bar,2026-08-05,,$36.28,$39.90
52,Tap Beer,21,Stowaway Bar,2026-08-05,,$96.36,$106.00
53,Small Plates,19,Stowaway Bar,2026-08-05,,$38.09,$41.90
54,Salads,20,Stowaway Bar,2026-08-05,,$16.36,$18.00
55,Gin,18,Stowaway Bar,2026-08-05,,$12.73,$14.00
56,Marilyna's Soft Drinks,19,Stowaway Bar,2026-08-05,,$3.64,$4.00
57,None,19,Stowaway Bar,2026-08-05,,$1.82,$2.00
58,None,18,Stowaway Bar,2026-08-05,,$0.00,$0.00
59,Desserts,17,Stowaway Bar,2026-08-05,,$14.55,$16.00
60,Cocktails - Signature,18,Stowaway Bar,2026-08-05,,$27.28,$30.00
61,Salads,19,Stowaway Bar,2026-08-05,,$39.00,$42.90
62,Marilyna's Pizza,19,Stowaway Bar,2026-08-05,,$20.00,$22.00
63,Cocktails - Classic,17,Stowaway Bar,2026-08-05,,$19.09,$21.00
64,Dine-in Pizza,17,Stowaway Bar,2026-08-05,,$47.28,$52.00
65,Kitchen Specials,17,Stowaway Bar,2026-08-05,,$72.54,$79.80
66,Big Plates,19,Stowaway Bar,2026-08-05,,$560.60,$616.70
67,Big Plates,20,Stowaway Bar,2026-08-05,,$40.91,$45.00
68,Add-ons - Pizza,19,Stowaway Bar,2026-08-05,,$4.55,$5.00
69,Mocktails,17,Stowaway Bar,2026-08-05,,$11.82,$13.00
70,Non-alcoholic,15,Stowaway Bar,2026-08-05,,$4.55,$5.00
71,Tap Beer,17,Stowaway Bar,2026-08-05,,$200.03,$220.00
72,Add-ons - Pizza,18,Stowaway Bar,2026-08-05,,$1.85,$1.85
73,Red Wine,16,Stowaway Bar,2026-08-05,,$23.63,$26.00
74,Small Plates,20,Stowaway Bar,2026-08-05,,$29.46,$32.40
75,Small Plates,22,Stowaway Bar,2026-08-05,,$254.73,$280.20
76,Non-alcoholic,17,Stowaway Bar,2026-08-05,,$8.17,$9.00
77,Marilyna's Pizza,17,Stowaway Bar,2026-08-05,,$66.37,$73.00
78,Orange / Skins Wine,19,Stowaway Bar,2026-08-05,,$17.27,$19.00
79,Orange / Skins Wine,18,Stowaway Bar,2026-08-05,,$17.27,$19.00
80,Harry Gatos Food,17,Stowaway Bar,2026-08-05,,$73.65,$81.00
81,Add-ons - Kitchen,20,Stowaway Bar,2026-08-05,,$0.45,$0.50
82,Delivery Kitchen,17,Stowaway Bar,2026-08-05,,$19.09,$21.00
83,Marilyna's Soft Drinks,20,Stowaway Bar,2026-08-05,,$10.90,$12.00
84,Marilyna's Soft Drinks,18,Stowaway Bar,2026-08-05,,$6.36,$7.00
85,Rose Wine,17,Stowaway Bar,2026-08-05,,$10.91,$12.00
86,Red Wine,17,Stowaway Bar,2026-08-05,,$44.55,$49.00
