Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Chicken,17,$65.88,$5.96,$0.00,5%,1%,0%
Dumplings - Prawn Har Gow [GF],16,$300.10,$27.33,$70.62,5%,6%,76%
Tonkotsu,15,$435.00,$39.60,$62.46,4%,8%,86%
Mie Goreng,15,$349.27,$31.72,$47.73,4%,7%,86%
Classic Margarita,11,$184.00,$16.73,$36.58,3%,4%,80%
Sapporo - 500ml,11,$135.60,$12.35,$41.79,3%,3%,69%
Edamame,10,$110.00,$10.01,$0.00,3%,2%,0%
Angas & Bremer Grenache - Regular,9,$90.60,$8.24,$15.79,3%,2%,83%
Devon's Prawn Toast,8,$128.00,$11.60,$31.10,2%,2%,76%
Chicken Karaage,8,$134.30,$12.24,$0.00,2%,3%,0%
Dumplings - Veg Gyoza,8,$112.00,$10.16,$15.69,2%,2%,86%
River Retreat Pinot Grigio - Regular,8,$86.00,$7.82,$16.08,2%,2%,81%
Chicken skewers,7,$151.80,$13.80,$0.00,2%,3%,0%
1/2 Marinated Egg,7,$14.00,$1.26,$0.00,2%,0%,0%
Fried Rice,7,$159.70,$14.51,$18.76,2%,3%,88%
Sapporo - Schooner,6,$60.00,$5.46,$19.38,2%,1%,68%
BBQ Meat Platter,6,$240.00,$21.83,$0.00,2%,5%,0%
Miso,6,$174.00,$15.83,$0.00,2%,3%,0%
Popcorn Cauliflower,6,$87.00,$7.89,$5.87,2%,2%,93%
Chicken Katsu Curry,6,$162.00,$14.70,$17.14,2%,3%,89%
Shredded Beef,6,$156.00,$14.16,$0.00,2%,3%,0%
Margato,6,$108.00,$9.82,$23.42,2%,2%,78%
L'esprit Rosé - Regular,6,$86.40,$7.85,$30.27,2%,2%,65%
2 Glasses,5,$0.00,$0.00,$0.00,1%,0%,0%
Shoyu,5,$145.00,$13.19,$0.00,1%,3%,0%
Harry's Lager - Pint,5,$50.75,$4.63,$11.20,1%,1%,78%
Dumplings - Beef & Cabbage,5,$70.00,$6.35,$7.37,1%,1%,89%
Dragon Juice,5,$76.00,$6.91,$12.96,1%,1%,83%
BBQ Pork Buns,4,$60.00,$5.44,$14.00,1%,1%,77%
Negroni,4,$56.00,$5.08,$19.18,1%,1%,66%
Harry's Lager - Schooner,4,$38.00,$3.44,$6.68,1%,1%,82%
Chilli Bomb,4,$8.00,$0.72,$0.00,1%,0%,0%
Grifter Pale - Pint [HG],4,$54.00,$4.88,$0.00,1%,1%,0%
