Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
1/2 Marinated Egg,29,$52.28,$4.72,$0.00,17%,3%,0%
Tonkotsu,26,$568.34,$51.67,$108.26,16%,28%,81%
Shoyu,6,$100.88,$9.18,$0.00,4%,5%,0%
Miso,6,$132.00,$12.00,$0.00,4%,7%,0%
Kirin - Pint [HG],6,$89.99,$8.15,$0.00,4%,4%,0%
Dumplings - Prawn Har Gow [GF],5,$93.00,$8.47,$22.07,3%,5%,76%
Philter XPA - Pint [HG],5,$75.00,$6.80,$0.00,3%,4%,0%
GFO [GF Ramen Noodles],4,$12.00,$1.08,$0.00,2%,1%,0%
Chicken,4,$15.50,$1.40,$0.00,2%,1%,0%
Birdseye Chilli Marg,4,$84.00,$7.65,$13.30,2%,4%,84%
Angas & Bremer Rosé - Regular,4,$38.00,$3.46,$7.72,2%,2%,80%
Devon's Prawn Toast,3,$48.00,$4.35,$11.66,2%,2%,76%
Swap for Chicken,3,$0.00,$0.00,$0.00,2%,0%,0%
Popcorn Cauliflower,3,$44.00,$3.99,$2.94,2%,2%,93%
Angas & Bremer Grenache - Regular,3,$36.00,$3.27,$5.26,2%,2%,85%
BBQ Pork Buns,3,$45.00,$4.08,$10.50,2%,2%,77%
Geppetto Chardonnay - Regular,3,$43.50,$3.94,$10.89,2%,2%,75%
Extra Pork.,2,$10.00,$0.90,$0.00,1%,0%,0%
Mie Goreng,2,$47.00,$4.27,$6.36,1%,2%,86%
Dumplings - Veg Gyoza,2,$28.00,$2.54,$3.92,1%,1%,86%
Lemonade Glass,2,$9.00,$0.82,$0.00,1%,0%,0%
Carafe Sparkling Water,2,$10.00,$0.90,$0.00,1%,0%,0%
Fried Rice,2,$46.00,$4.18,$5.36,1%,2%,88%
Black Garlic Oil,2,$4.00,$0.36,$0.00,1%,0%,0%
Padrillos Malbec - Regular,2,$36.00,$3.27,$7.13,1%,2%,80%
Dragon Soda,2,$18.00,$1.64,$0.00,1%,1%,0%
Philter XPA - Schooner [HG],2,$23.00,$2.10,$0.00,1%,1%,0%
Edamame,2,$19.72,$1.79,$0.00,1%,1%,0%
Chilli Bomb,2,$4.00,$0.36,$0.00,1%,0%,0%
Duck Spring Roll,2,$32.00,$2.90,$7.14,1%,2%,78%
Sapporo - 500ml,2,$18.00,$1.64,$7.60,1%,1%,58%
Extra Tofu.,2,$8.00,$0.72,$0.00,1%,0%,0%
Extra Chicken.,2,$8.00,$0.72,$0.00,1%,0%,0%
Dumplings - Beef & Cabbage,2,$28.00,$2.54,$2.95,1%,1%,89%
Lemon Chu-hi,2,$24.00,$2.18,$3.04,1%,1%,87%
Gluten-Free,1,$0.00,$0.00,$0.00,1%,0%,0%
Seitan Katsu Curry [vegan],1,$27.00,$2.45,$0.90,1%,1%,97%
Virgin Margy,1,$13.00,$1.18,$0.00,1%,1%,0%
Chicken Karaage,1,$17.00,$1.55,$0.00,1%,1%,0%
Vegetarian Spring Rolls,1,$14.00,$1.27,$1.65,1%,1%,88%
Aperol Spritz,1,$14.00,$1.27,$3.96,1%,1%,72%
From Sundays Shiraz - Regular,1,$15.00,$1.36,$2.80,1%,1%,81%
Orange Juice Glass,1,$4.00,$0.37,$0.00,1%,0%,0%
Corn,1,$0.79,$0.07,$0.00,1%,0%,0%
Lychee Martini,1,$14.00,$1.27,$3.14,1%,1%,78%
Chicken Katsu Curry,1,$27.00,$2.45,$2.86,1%,1%,89%
Harry's Lager - Schooner,1,$9.50,$0.86,$1.67,1%,0%,82%
Lemon Lime Bitters,1,$4.50,$0.41,$0.00,1%,0%,0%
Ottelia Cab Sav - Regular,1,$18.00,$1.64,$4.73,1%,1%,74%
,167,"$2,028.00",$184.19,$257.82,100%,100%,87%
