,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Modifiers,19,Stowaway Bar,2026-08-13,,$0.00,$0.00
2,Bottles / Cans Alcoholic,19,Stowaway Bar,2026-08-13,,$21.82,$24.00
3,Modifiers,20,Stowaway Bar,2026-08-13,,$0.00,$0.00
4,White Wine,18,Stowaway Bar,2026-08-13,,$105.46,$116.00
5,None,19,Stowaway Bar,2026-08-13,,$1.82,$2.00
6,Dine-in Pizza,19,Stowaway Bar,2026-08-13,,$99.10,$109.00
7,Add-ons - Kitchen,18,Stowaway Bar,2026-08-13,,$3.16,$3.50
8,Gin,19,Stowaway Bar,2026-08-13,,$10.00,$11.00
9,Big Plates,17,Stowaway Bar,2026-08-13,,$161.26,$177.40
10,Desserts,19,Stowaway Bar,2026-08-13,,$10.91,$12.00
11,Cocktails - Classic,19,Stowaway Bar,2026-08-13,,$250.02,$275.00
12,Cocktails - Classic,20,Stowaway Bar,2026-08-13,,$251.83,$277.00
13,Gin,16,Stowaway Bar,2026-08-13,,$13.17,$14.50
14,Modifiers,18,Stowaway Bar,2026-08-13,,$0.00,$0.00
15,None,16,Stowaway Bar,2026-08-13,,$0.00,$0.00
16,Dine-in Pizza,18,Stowaway Bar,2026-08-13,,$211.84,$233.00
17,Tap Beer,20,Stowaway Bar,2026-08-13,,$68.63,$75.50
18,Tap Beer,18,Stowaway Bar,2026-08-13,,$272.62,$299.90
19,Cocktails - Classic,21,Stowaway Bar,2026-08-13,,$120.00,$132.00
20,Gin,18,Stowaway Bar,2026-08-13,,$20.00,$22.00
21,Tap Beer,21,Stowaway Bar,2026-08-13,,$45.91,$50.50
22,Small Plates,19,Stowaway Bar,2026-08-13,,$65.37,$71.90
23,Small Plates,18,Stowaway Bar,2026-08-13,,$432.36,$475.60
24,Kids Meals,18,Stowaway Bar,2026-08-13,,$11.82,$13.00
25,Delivery Kitchen,16,Stowaway Bar,2026-08-13,,$18.18,$20.00
26,Add-ons - Bar,17,Stowaway Bar,2026-08-13,,$2.73,$3.00
27,Add-ons - Kitchen,19,Stowaway Bar,2026-08-13,,$2.24,$2.50
28,Tap Beer,17,Stowaway Bar,2026-08-13,,$206.82,$227.50
29,Cocktails - Signature,20,Stowaway Bar,2026-08-13,,$13.63,$15.00
30,Cocktails - Signature,18,Stowaway Bar,2026-08-13,,$114.56,$126.00
31,Vodka,17,Stowaway Bar,2026-08-13,,$30.00,$33.00
32,White Wine,17,Stowaway Bar,2026-08-13,,$60.01,$66.00
33,Big Plates,19,Stowaway Bar,2026-08-13,,$277.33,$305.10
34,Big Plates,20,Stowaway Bar,2026-08-13,,$54.36,$59.80
35,Cocktails - Classic,16,Stowaway Bar,2026-08-13,,$143.67,$158.00
36,Add-ons - Bar,16,Stowaway Bar,2026-08-13,,$0.91,$1.00
37,Red Wine,18,Stowaway Bar,2026-08-13,,$68.20,$75.00
38,Tap Beer,16,Stowaway Bar,2026-08-13,,$164.04,$180.50
39,Red Wine,16,Stowaway Bar,2026-08-13,,$19.08,$21.00
