,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Small Plates,17,Stowaway Bar,2026-08-16,,$294.50,$323.95
2,Gin,12,Stowaway Bar,2026-08-16,,$42.00,$46.20
3,Non-alcoholic,19,Stowaway Bar,2026-08-16,,$4.50,$4.95
4,Tap Beer,16,Stowaway Bar,2026-08-16,,$424.50,$466.95
5,Red Wine,18,Stowaway Bar,2026-08-16,,$49.00,$53.90
6,White Wine,16,Stowaway Bar,2026-08-16,,$109.00,$119.90
7,Marilyna's Pizza,19,Stowaway Bar,2026-08-16,,$278.04,$305.84
8,None,12,Stowaway Bar,2026-08-16,,$0.00,$0.00
9,Add-ons - Kitchen,17,Stowaway Bar,2026-08-16,,$9.50,$10.45
10,Kitchen Specials,13,Stowaway Bar,2026-08-16,,$739.46,$813.45
11,Small Plates,12,Stowaway Bar,2026-08-16,,$101.30,$111.43
12,Cocktails - Classic,16,Stowaway Bar,2026-08-16,,$261.01,$287.10
13,Bottles / Cans Alcoholic,13,Stowaway Bar,2026-08-16,,$33.50,$36.85
14,Vodka,16,Stowaway Bar,2026-08-16,,$11.00,$12.10
15,Vodka,15,Stowaway Bar,2026-08-16,,$11.00,$12.10
16,Non-alcoholic,18,Stowaway Bar,2026-08-16,,$99.00,$108.90
17,Tap Beer,15,Stowaway Bar,2026-08-16,,$278.00,$305.80
18,Tap Beer,13,Stowaway Bar,2026-08-16,,$255.00,$280.50
19,Red Wine,19,Stowaway Bar,2026-08-16,,$51.00,$56.10
20,Rose Wine,20,Stowaway Bar,2026-08-16,,$12.00,$13.20
21,Rose Wine,14,Stowaway Bar,2026-08-16,,$12.01,$13.20
22,Marilyna's Pizza,18,Stowaway Bar,2026-08-16,,$298.97,$328.84
23,Delivery Kitchen,18,Stowaway Bar,2026-08-16,,$58.82,$64.70
24,Kitchen Specials,16,Stowaway Bar,2026-08-16,,$322.90,$355.19
25,Add-ons - Kitchen,12,Stowaway Bar,2026-08-16,,$7.81,$8.60
26,Small Plates,19,Stowaway Bar,2026-08-16,,$66.03,$72.60
27,Red Wine,17,Stowaway Bar,2026-08-16,,$77.00,$84.70
28,Rose Wine,16,Stowaway Bar,2026-08-16,,$44.00,$48.40
29,Rose Wine,13,Stowaway Bar,2026-08-16,,$31.99,$35.20
30,Marilyna's Pizza,16,Stowaway Bar,2026-08-16,,$208.26,$229.08
31,None,19,Stowaway Bar,2026-08-16,,$0.00,$0.00
32,Sparkling Wine,17,Stowaway Bar,2026-08-16,,$72.00,$79.20
33,Add-ons - Pizza,15,Stowaway Bar,2026-08-16,,$1.06,$1.06
34,Small Plates,14,Stowaway Bar,2026-08-16,,$118.39,$130.24
35,Big Plates,13,Stowaway Bar,2026-08-16,,$172.50,$189.75
36,Cocktails - Signature,18,Stowaway Bar,2026-08-16,,$75.00,$82.50
37,Marilyna's Soft Drinks,19,Stowaway Bar,2026-08-16,,$4.00,$4.40
38,Red Wine,12,Stowaway Bar,2026-08-16,,$15.00,$16.50
39,Rose Wine,17,Stowaway Bar,2026-08-16,,$16.00,$17.60
40,Marilyna's Pizza,15,Stowaway Bar,2026-08-16,,$38.80,$42.68
41,Add-ons - Kitchen,19,Stowaway Bar,2026-08-16,,$11.48,$12.65
42,None,18,Stowaway Bar,2026-08-16,,$0.00,$0.00
43,None,14,Stowaway Bar,2026-08-16,,$0.00,$0.00
44,Add-ons - Pizza,13,Stowaway Bar,2026-08-16,,$8.01,$8.80
45,None,15,Stowaway Bar,2026-08-16,,$0.00,$0.00
46,Add-ons - Kitchen,16,Stowaway Bar,2026-08-16,,$14.02,$15.40
47,Bottles / Cans Alcoholic,14,Stowaway Bar,2026-08-16,,$25.00,$27.50
48,Big Plates,14,Stowaway Bar,2026-08-16,,$26.90,$29.59
49,Salads,17,Stowaway Bar,2026-08-16,,$18.00,$19.80
