Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Stone & Wood - Schooner,20,$260.43,$23.66,$64.95,5%,5%,75%
Regular Little Italy [Dine-in],12,$220.17,$20.05,$57.65,3%,4%,74%
Grifter Pale - Pint,11,$132.98,$12.07,$36.62,3%,3%,72%
Villa Fresco Sangiovese - Regular,11,$125.60,$11.40,$26.53,3%,2%,79%
Version Two Pinot Grigio - Regular,10,$90.40,$8.24,$17.67,3%,2%,80%
Fresh is Best Lager - Schooner,8,$72.51,$6.55,$14.62,2%,1%,80%
Fresh is Best Summer Lager - Schooner,8,$66.85,$6.05,$12.70,2%,1%,81%
Rosemary Salted Fries,7,$93.28,$8.47,$12.99,2%,2%,86%
Mulled Wine,7,$107.96,$9.79,$14.26,2%,2%,87%
Kuku Sauvignon Blanc - Regular,7,$96.60,$8.76,$20.40,2%,2%,79%
Side Aioli,6,$3.12,$0.36,$0.00,2%,0%,0%
Stone & Wood - Pint,6,$102.00,$9.30,$26.13,2%,2%,74%
Aperol Spritz,6,$109.97,$9.99,$21.32,2%,2%,81%
Heaps Normal Tin,6,$66.00,$6.00,$16.02,2%,1%,76%
Padrillos Malbec - Regular,6,$104.40,$9.52,$23.20,2%,2%,78%
Regular Hail Africa [Dine-in],6,$106.77,$9.72,$17.47,2%,2%,84%
Status Quo - Pint,6,$103.25,$9.38,$24.98,2%,2%,76%
Regular New Yorker [Dine-in],5,$88.21,$8.03,$17.93,1%,2%,80%
Fresh is Best Lager - Pint,5,$56.50,$5.16,$12.26,1%,1%,78%
Pepsi Max Glass,5,$22.50,$2.05,$0.00,1%,0%,0%
Mother's Milk Shiraz - Regular,5,$73.50,$6.66,$16.08,1%,1%,78%
Crankshaft IPA - Pint,5,$87.50,$7.95,$21.51,1%,2%,75%
Little Dragon Can,5,$60.41,$5.51,$17.68,1%,1%,71%
Classic Margarita,5,$90.00,$8.19,$20.37,1%,2%,77%
Guinness Draught - Pint,5,$85.75,$7.80,$23.54,1%,2%,73%
White Light Pure Vodka [House],4,$39.60,$3.60,$6.08,1%,1%,85%
Villa Fresco Sangiovese - Large,4,$70.30,$6.41,$16.08,1%,1%,77%
"Lemon, Lime & Bitters",4,$20.16,$1.81,$0.00,1%,0%,0%
Regular Jimmy Jury [Dine-in],4,$73.77,$6.72,$13.34,1%,1%,82%
Sweet Potato Fries,4,$53.70,$4.86,$10.11,1%,1%,81%
"Regular No Chorizo, No Cry [Dine-in]",4,$73.77,$6.72,$10.01,1%,1%,86%
Philter XPA - Pint,4,$54.00,$4.90,$12.00,1%,1%,78%
Beetle Juice,4,$88.73,$8.06,$14.68,1%,2%,83%
Casa Gheller Prosecco - Glass,4,$64.00,$5.80,$13.38,1%,1%,79%
San Pellegrino 500ml,4,$35.70,$3.26,$9.38,1%,1%,74%
Lychee Martini,4,$68.66,$6.24,$14.49,1%,1%,79%
Side Tomato Sauce,3,$0.00,$0.00,$0.00,1%,0%,0%
Ottelia Chardonnay - Regular,3,$44.80,$4.05,$10.38,1%,1%,77%
Baked Camembert,3,$60.61,$5.52,$0.00,1%,1%,0%
Pepsi [mixer],3,$0.00,$0.00,$2.41,1%,0%,
Regular Sanchez [Dine-in],3,$44.38,$4.04,$10.18,1%,1%,77%
Campari,3,$30.00,$2.73,$5.02,1%,1%,83%
Pepsi Glass,3,$13.65,$1.25,$0.00,1%,0%,0%
Regular Uber Margherita [Dine-in],3,$55.76,$5.07,$9.58,1%,1%,83%
Regular Bubba Gump [Dine-in],3,$55.20,$5.02,$11.89,1%,1%,78%
Coke 1.25L,2,$13.00,$1.19,$7.38,1%,0%,43%
Brownie,2,$14.40,$1.31,$5.65,1%,0%,61%
Geppetto Pinot Noir - Regular,2,$30.00,$2.72,$7.02,1%,1%,77%
Regular Cosmopolitan [Dine-in],2,$34.20,$3.12,$9.47,1%,1%,72%
Fresh Lime Soda,2,$7.00,$0.64,$0.00,1%,0%,0%
Guinness Draught - Schooner,2,$27.89,$2.54,$7.02,1%,1%,75%
Regular El Patron [Dine-in],2,$36.00,$3.28,$7.28,1%,1%,80%
Regular Meatlovers [Dine-in],2,$36.59,$3.33,$9.96,1%,1%,73%
