supplier,supplier_code,product_id,product_name,venue,bo_cost,invoice_cost,delta,confidence,source_invoice,invoice_date
B&E,14580,22514322,Pizza Tomato Sauce ,,,,,recipe-bridge,,
Gulli,SAPPEPSTRIPA12-UC3,22874436,Roasted Red Peppers [A12],,,,,recipe-bridge,,
ILG,345-5638P,20445864,Sailor Jerry [House],,,,,recipe-bridge,,
Paramount,43786,23217497,Seppeltsfield Para Grand 10yo Tawny [Bottle],,,,,recipe-bridge,,
Foodlink,102601,22989451,Sunshine Smokey BBQ Sauce [3L],,,,,recipe-bridge,,
Mallia Industries Pty Ltd,ST285-WS,22995947,T2 Milk Bun Sliced White Sesame [85g],,,,,recipe-bridge,,
Paramount,78607,20445812,Wolf Lane Navy Gin,,,,,recipe-bridge,,
Foodlink,110315,22533097,Yoghurt Greek Style [1Kg],,,,,recipe-bridge,,
ILG,360-228-4,22575946,818 Tequila Blanco,,,,,ilg-pricebook,,
ILG,410-277-7,20445869,Mac By Brookie's Liqueur,,,,,ilg-pricebook,,
ILG,460-412-8,20445917,Bundaberg Ginger Beer 750ml,,,,,ilg-pricebook,,
ILG,395-102-1,20445894,Campari Aperitif 25%,,,,,ilg-pricebook,,
ILG,360-160-4,20445829,Casamigos Reposado Tequila,,,,,ilg-pricebook,,
ILG,410-249-2,20512442,Chartreuse Green,,,,,ilg-pricebook,,
ILG,410-775-4,20445868,Cointreau,,,,,ilg-pricebook,,
ILG,175-044-8,20445882,Fernet Branca,,,,,ilg-pricebook,,
ILG,315-006-6,20445850,Jameson Irish Whiskey,,,,,ilg-pricebook,,
ILG,345-036-7,20445865,Kraken Black Spiced Rum,,,,,ilg-pricebook,,
ILG,305-373-2,20729541,Michter's Us 1 Bourbon Whisky,,,,,ilg-pricebook,,
ILG,405-095-7,20445870,Mr Black Coffee Liqueur 700ml,,,,,ilg-pricebook,,
ILG,177-028-4,20445883,Oscar 697 Bianco Vermouth,,,,,ilg-pricebook,,
ILG,177-027-5,20445891,Oscar 697 Rosso Vermouth,,,,,ilg-pricebook,,
