,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Add-ons - Pizza,18,Stowaway Bar,2026-08-03,,$7.28,$8.00
2,Cocktails - Classic,17,Stowaway Bar,2026-08-03,,$48.19,$53.00
3,Non-alcoholic,17,Stowaway Bar,2026-08-03,,$21.32,$23.45
4,Modifiers,18,Stowaway Bar,2026-08-03,,$0.00,$0.00
5,Cocktails - Signature,19,Stowaway Bar,2026-08-03,,$34.55,$38.00
6,None,20,Stowaway Bar,2026-08-03,,$0.00,$0.00
7,None,18,Stowaway Bar,2026-08-03,,$0.00,$0.00
8,Bottles / Cans Alcoholic,19,Stowaway Bar,2026-08-03,,$9.55,$10.50
9,Non-alcoholic,19,Stowaway Bar,2026-08-03,,$76.38,$84.00
10,Tap Beer,18,Stowaway Bar,2026-08-03,,$228.19,$251.00
11,Tap Beer,22,Stowaway Bar,2026-08-03,,$10.45,$11.50
12,White Wine,21,Stowaway Bar,2026-08-03,,$52.73,$58.00
13,Red Wine,19,Stowaway Bar,2026-08-03,,$61.82,$68.00
14,White Wine,18,Stowaway Bar,2026-08-03,,$50.92,$56.00
15,Bottles / Cans Alcoholic,20,Stowaway Bar,2026-08-03,,$11.36,$12.50
16,White Wine,19,Stowaway Bar,2026-08-03,,$61.83,$68.00
17,Rose Wine,17,Stowaway Bar,2026-08-03,,$25.45,$28.00
18,Cocktails - Signature,20,Stowaway Bar,2026-08-03,,$83.64,$92.00
19,Add-ons - Pizza,17,Stowaway Bar,2026-08-03,,$3.64,$4.00
20,Cocktails - Classic,18,Stowaway Bar,2026-08-03,,$132.73,$146.00
21,Cocktails - Classic,20,Stowaway Bar,2026-08-03,,$40.00,$44.00
22,Non-alcoholic,18,Stowaway Bar,2026-08-03,,$122.24,$134.50
23,Non-alcoholic,20,Stowaway Bar,2026-08-03,,$17.74,$19.50
24,Tap Beer,20,Stowaway Bar,2026-08-03,,$27.25,$30.00
25,Cocktails - Classic,19,Stowaway Bar,2026-08-03,,$38.18,$42.00
26,Bottles / Cans Alcoholic,18,Stowaway Bar,2026-08-03,,$9.54,$10.50
27,Red Wine,18,Stowaway Bar,2026-08-03,,$40.92,$45.00
28,Harry Gatos Food,20,Stowaway Bar,2026-08-03,,$43.64,$48.00
29,Harry Gatos Food,18,Stowaway Bar,2026-08-03,,"$1,193.74","$1,313.00"
30,Vodka,19,Stowaway Bar,2026-08-03,,$10.00,$11.00
31,Whisky,20,Stowaway Bar,2026-08-03,,$10.00,$11.00
32,Mocktails,19,Stowaway Bar,2026-08-03,,$23.64,$26.00
33,Tap Beer,19,Stowaway Bar,2026-08-03,,$174.09,$191.50
34,Harry Gatos Food,17,Stowaway Bar,2026-08-03,,$442.93,$487.20
35,Rose Wine,18,Stowaway Bar,2026-08-03,,$90.91,$100.00
36,White Wine,17,Stowaway Bar,2026-08-03,,$56.55,$62.20
37,Harry Gatos Food,19,Stowaway Bar,2026-08-03,,$777.34,$855.00
38,Tap Beer,17,Stowaway Bar,2026-08-03,,$117.72,$129.50
39,Gin,17,Stowaway Bar,2026-08-03,,$6.36,$7.00
40,Rose Wine,19,Stowaway Bar,2026-08-03,,$54.56,$60.00
41,Rose Wine,20,Stowaway Bar,2026-08-03,,$34.55,$38.00
42,None,17,Stowaway Bar,2026-08-03,,$0.00,$0.00
