Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,8,$8.85,$0.00,$0.00,10%,1%,0%
Garlic Bread,4,$10.00,$0.90,$5.68,5%,1%,43%
Large Meatlovers,4,$26.90,$2.45,$28.95,5%,2%,-8%
"Regular No Chorizo, No Cry [Dine-in]",3,$79.72,$7.24,$8.02,4%,7%,90%
Add Anchovies,3,$6.00,$0.54,$0.00,4%,1%,0%
Coke Zero Can,3,$11.70,$1.06,$5.67,4%,1%,52%
Regular El Patron [Dine-in],2,$53.70,$4.87,$7.58,3%,5%,86%
Regular Paddock,2,$39.80,$3.62,$6.48,3%,3%,84%
Cheesy Garlic Bread,2,$12.00,$1.10,$3.55,3%,1%,70%
Regular Pepperoni,2,$34.80,$3.16,$4.60,3%,3%,87%
Regular Margherita,2,$27.80,$2.52,$2.80,3%,2%,90%
WINGS DEAL,2,$60.00,$5.46,$0.00,3%,5%,0%
Regular Little Italy [Dine-in],2,$52.85,$4.80,$9.95,3%,5%,81%
Vegan Cheese,1,$3.00,$0.27,$0.00,1%,0%,0%
Family Pepperoni,1,$24.90,$2.26,$0.00,1%,2%,0%
Large Truffalo Soldier,1,$26.90,$2.45,$4.56,1%,2%,83%
Regular Jimmy Jury [Dine-in],1,$27.89,$2.54,$3.51,1%,2%,87%
Online Rounding,1,-$0.50,$0.00,$0.00,1%,-0%,0%
Add Pineapple,1,$1.50,$0.14,$0.00,1%,0%,0%
Regular Cosmopolitan,1,$19.90,$1.81,$4.73,1%,2%,76%
Young Henrys Cider Can D,1,$6.50,$0.59,$2.82,1%,1%,57%
Add Prawns,1,$4.00,$0.36,$0.00,1%,0%,0%
Large Super House Special,1,$26.90,$2.45,$7.73,1%,2%,71%
Regular Hail Africa [Dine-in],1,$27.00,$2.45,$3.00,1%,2%,89%
Family Truffalo Soldier,1,$29.90,$2.72,$0.00,1%,3%,0%
Regular New Yorker [Dine-in],1,$24.00,$2.18,$3.79,1%,2%,84%
Large Sanchez,1,$31.90,$2.90,$5.77,1%,3%,82%
Regular Sanchez [Dine-in],1,$26.00,$2.36,$3.56,1%,2%,86%
Regular Sanchez VEGAN [Dine-in],1,$26.85,$2.44,$3.22,1%,2%,88%
Family Super House Special,1,$29.90,$2.72,$0.00,1%,3%,0%
Regular Super House Special [Dine-in],1,$26.00,$2.36,$5.54,1%,2%,79%
Regular Bubba Gump,1,$19.90,$1.81,$4.16,1%,2%,79%
Gluten-free El Patron [Dine-in],1,$31.00,$2.82,$8.81,1%,3%,72%
Regular Super House Special,1,$25.90,$2.35,$5.54,1%,2%,79%
Large Paddock,1,$26.90,$2.45,$5.36,1%,2%,80%
Add Jalapenos,1,$1.50,$0.14,$0.00,1%,0%,0%
Add Bacon,1,$4.00,$0.36,$0.00,1%,0%,0%
Regular Jimmy Jury,1,$25.90,$2.34,$3.51,1%,2%,86%
Large Bubba Gump,1,$26.90,$2.45,$5.81,1%,2%,78%
Delivery Fee - Freshwater / Queenscliff,1,$5.00,$0.45,$0.00,1%,0%,0%
Extra Mozzarella,1,$2.50,$0.23,$0.00,1%,0%,0%
Large Margherita,1,$19.90,$1.81,$2.58,1%,2%,87%
Regular Sorrento [Dine-in],1,$26.00,$2.36,$4.28,1%,2%,84%
Large BBQ Chicken Pizza,1,$0.00,$0.00,$4.43,1%,0%,
$45 FEAST,1,$45.00,$4.09,$0.00,1%,4%,0%
Regular Meatlovers,1,$19.90,$1.81,$5.18,1%,2%,74%
Regular Hawaiian,1,$19.90,$1.81,$1.25,1%,2%,94%
Gluten-free Meatlovers,1,$32.90,$2.99,$9.62,1%,3%,71%
Large Cosmopolitan,1,$26.90,$2.45,$6.61,1%,2%,75%
Online Discount,1,-$18.20,$0.00,$0.00,1%,-2%,0%
Regular Garlic Cheese Pizza,1,$13.40,$1.22,$1.39,1%,1%,90%
,77,"$1,141.86",$104.66,$200.05,100%,100%,82%
