Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Tonkotsu,15,$330.00,$30.00,$62.46,9%,15%,81%
1/2 Marinated Egg,9,$18.00,$1.62,$0.00,5%,1%,0%
Sapporo - 500ml,8,$132.00,$11.99,$29.68,5%,6%,78%
Chicken,8,$31.00,$2.80,$0.00,5%,1%,0%
Mie Goreng,8,$186.00,$16.90,$25.46,5%,9%,86%
Shoyu,7,$154.00,$14.00,$0.00,4%,7%,0%
Sapporo - Schooner,6,$78.00,$7.09,$18.92,4%,4%,76%
Pepsi Max Glass,6,$27.00,$2.46,$7.86,4%,1%,71%
Margato,6,$0.00,$0.00,$23.09,4%,0%,
Miso,6,$118.80,$10.80,$0.00,4%,6%,0%
Dumplings - Veg Gyoza,5,$70.00,$6.34,$9.81,3%,3%,86%
Fried Rice,4,$93.00,$8.45,$10.72,2%,4%,88%
BBQ Pork Buns,4,$60.00,$5.44,$14.00,2%,3%,77%
Chilli Bomb,3,$6.00,$0.54,$0.00,2%,0%,0%
Dumplings - Prawn Har Gow [GF],3,$57.00,$5.19,$13.24,2%,3%,77%
Harry's Lager - Schooner,3,$26.00,$2.36,$4.72,2%,1%,82%
Chicken Karaage,3,$51.00,$4.65,$0.00,2%,2%,0%
Devon's Prawn Toast,3,$48.00,$4.35,$11.66,2%,2%,76%
Diet Coke Can,3,$12.00,$1.08,$0.00,2%,1%,0%
Swap for Chicken,3,$0.00,$0.00,$0.00,2%,0%,0%
S&W Pacific Ale - Schooner [HG],3,$39.00,$3.54,$0.00,2%,2%,0%
Duck Spring Roll,3,$48.00,$4.35,$10.72,2%,2%,78%
Zagara Orange [HG] - Regular,2,$30.00,$2.72,$5.37,1%,1%,82%
L'esprit Rosé - Regular,2,$32.00,$2.90,$10.09,1%,1%,68%
White Light Pure Vodka [House],2,$22.00,$2.00,$3.04,1%,1%,86%
Lemon Lime Bitters,2,$9.00,$0.82,$0.00,1%,0%,0%
Edamame,2,$22.00,$2.00,$0.00,1%,1%,0%
Tommy's Margarita,2,$40.00,$3.64,$0.00,1%,2%,0%
Popcorn Cauliflower,2,$30.00,$2.72,$1.96,1%,1%,93%
Chicken Katsu Curry,2,$54.00,$4.90,$5.71,1%,3%,89%
Vegetarian Spring Rolls,2,$28.00,$2.55,$3.30,1%,1%,88%
Kids Fried Rice,2,$26.00,$2.36,$0.00,1%,1%,0%
Dumplings - Beef & Cabbage,2,$28.00,$2.54,$2.95,1%,1%,89%
Yuzu Orange Soda,2,$18.00,$1.64,$0.00,1%,1%,0%
Lime,2,$0.00,$0.00,$0.00,1%,0%,0%
Soda,2,$0.00,$0.00,$0.00,1%,0%,0%
Unlimited BBQ,2,$90.00,$8.18,$17.17,1%,4%,81%
Palloncino Prosecco - Regular,2,$24.00,$2.18,$4.60,1%,1%,81%
From Sundays Shiraz - Regular,1,$15.00,$1.36,$2.80,1%,1%,81%
Soda & Lime Glass,1,$3.00,$0.27,$0.00,1%,0%,0%
Dragon Soda,1,$9.00,$0.82,$0.00,1%,0%,0%
Shredded Beef,1,$26.00,$2.36,$0.00,1%,1%,0%
Angas & Bremer Grenache - Regular,1,$12.00,$1.09,$1.75,1%,1%,85%
Lemonade Glass,1,$4.50,$0.41,$0.00,1%,0%,0%
Swap for Tofu [Make it Vegan],1,$0.00,$0.00,$0.00,1%,0%,0%
Remove Fish Cakes,1,$0.00,$0.00,$0.00,1%,0%,0%
Geppetto Chardonnay - Regular,1,$15.00,$1.36,$3.63,1%,1%,76%
Nuggets & Chips [HG],1,$13.00,$1.18,$0.00,1%,1%,0%
Carafe Sparkling Water,1,$5.00,$0.45,$0.00,1%,0%,0%
Tofu,1,$4.00,$0.36,$0.00,1%,0%,0%
Fried Egg,1,$4.00,$0.36,$0.00,1%,0%,0%
,164,"$2,148.30",$195.12,$304.70,100%,100%,86%
