supplier,supplier_code,invoice_description,lightspeed_product,cost_per_unit_incl_gst,basis,pack_size,pack_qty,pack_unit,cost_per_base_unit,venue,source_invoice,invoice_date,in_bounds,note
Lightspeed,20487294,Four Pillars Rare Dry 700ML,Four Pillars Rare Dry,68.8400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487294
Lightspeed,20487322,Glendronach 12yr 700ML,Glendronach 12yr,94.5100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487322
Lightspeed,20487319,Noilly Prat Dry Vermouth 700ML,Noilly Prat Dry Vermouth,35.6900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487319
Lightspeed,20487456,Brookie's Mac. Liqueur 700ML,Brookie's Mac. Liqueur,45.9900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487456
Lightspeed,20487328,De Bortoli Gold Seal Dry Red 15000ML,De Bortoli Gold Seal Dry Red,56.4500,,1,15000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487328
Lightspeed,20487325,Glenmorangie Signet 700ML,Glenmorangie Signet,284.4500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487325
Lightspeed,20487331,Gospel Solera Rye 700ML,Gospel Solera Rye,71.3300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487331
Lightspeed,20487426,Grifter Pale 50000ML,Grifter Pale,292.0500,,1,50000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487426
Lightspeed,20487441,Hakushu 12yr 700ML,Hakushu 12yr,294.7800,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487441
Lightspeed,20487447,Hartshorn Sheep Whey Vodka 700ML,Hartshorn Sheep Whey Vodka,65.4500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487447
Lightspeed,20487459,Harveys Bristol Cream Sherry 700ML,Harveys Bristol Cream Sherry,14.5900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487459
Lightspeed,20487472,Hendrick's Gin 700ML,Hendrick's Gin,62.6100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487472
Lightspeed,20487484,Herradura Plata 700ML,Herradura Plata,79.2100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487484
Lightspeed,20487488,Illegal Reposado Mezcal 700ML,Illegal Reposado Mezcal,102.0500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487488
Lightspeed,20487490,Jack Daniels 700ML,Jack Daniels,45.2500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487490
Lightspeed,20487512,Jameson Irish Whiskey 700ML,Jameson Irish Whiskey,48.0200,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487512
Lightspeed,20487523,Johnnie Walker Black 700ML,Johnnie Walker Black,57.2600,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487523
Lightspeed,20487531,Kraken Rum 700ML,Kraken Rum,49.4300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487531
Lightspeed,20487534,Lagavulin 16yr 700ML,Lagavulin 16yr,146.8600,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487534
Lightspeed,20487538,Laphroaig 10yr 700ML,Laphroaig 10yr,86.9700,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487538
Lightspeed,20487546,Lost Explorer Espadín Mezcal 700ML,Lost Explorer Espadín Mezcal,64.6700,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487546
Lightspeed,20487567,Macallan Sherry Oak 12yr 700ML,Macallan Sherry Oak 12yr,137.3400,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487567
Lightspeed,20487547,Massenez Lychee 5000ML,Massenez Lychee,253.9100,,1,5000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487547
Lightspeed,20487709,Manly Spirits Limoncello 700ML,Manly Spirits Limoncello,45.3300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487709
Lightspeed,20487805,Fee Bros Black Walnut Bitters 150ML,Fee Bros Black Walnut Bitters,20.8700,,1,150,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487805
Lightspeed,20487793,Massenez Black Cacao 5000ML,Massenez Black Cacao,299.2600,,1,5000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487793
Lightspeed,20487788,Mr Black Coffee Liqueur 700ML,Mr Black Coffee Liqueur,38.2900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487788
Lightspeed,20487836,Monkey Shoulder Scotch 700ML,Monkey Shoulder Scotch,55.3200,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487836
Lightspeed,20487812,Myer's Jamaican Rum 700ML,Myer's Jamaican Rum,61.0600,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487812
Lightspeed,20487829,Never Never Oyster Shell Gin 700ML,Never Never Oyster Shell Gin,69.5000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487829
Lightspeed,20487889,Oscar.697 Bianco Vermouth 700ML,Oscar.697 Bianco Vermouth,42.6700,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487889
Lightspeed,20487875,Philter Red 50000ML,Philter Red,290.4000,,1,50000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487875
Lightspeed,20487949,Appleton Rum 700ML,Appleton Rum,51.2900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487949
Lightspeed,20487897,Oscar.697 Rosso Vermouth 700ML,Oscar.697 Rosso Vermouth,29.3000,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487897
Lightspeed,20487923,Patron Reposado 700ML,Patron Reposado,80.2500,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487923
Lightspeed,20487926,Patron Silver 700ML,Patron Silver,75.0300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487926
Lightspeed,20487938,Philter XPA 50000ML,Philter XPA,263.1200,,1,50000,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487938
Lightspeed,20487946,Plantation 3 Stars White Rum 700ML,Plantation 3 Stars White Rum,60.8300,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487946
Lightspeed,20487958,Poor Tom's Strawberry Gin 700ML,Poor Tom's Strawberry Gin,66.6100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487958
Lightspeed,20487972,Quiquiriqui Mezcal 700ML,Quiquiriqui Mezcal,78.5900,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487972
Lightspeed,20487977,Redbreast 12yr 700ML,Redbreast 12yr,119.1100,,1,700,ml,,stowaway,bo-seed-stowaway,2026-01-01,yes,BO export cost (ml); ProductID 20487977
