Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Unlimited Dumplings,61,"$1,459.20",$132.54,$427.63,31%,58%,71%
Sapporo - Schooner,19,$65.00,$5.90,$60.40,10%,3%,7%
Harry's Lager - Schooner,18,$78.00,$7.08,$30.40,9%,3%,61%
Pepsi Max Glass,16,$67.50,$6.15,$20.96,8%,3%,69%
Harry's Lager - Pint,9,$105.50,$9.62,$20.39,5%,4%,81%
Sapporo - 500ml,7,$42.00,$3.82,$26.18,4%,2%,38%
Devon's Prawn Toast,5,$80.00,$7.25,$19.44,3%,3%,76%
Duck Spring Roll,4,$64.00,$5.80,$14.29,2%,3%,78%
Dragon Soda,4,$36.00,$3.28,$0.00,2%,1%,0%
Asahi Zero,4,$31.50,$2.85,$8.39,2%,1%,73%
Lemonade Glass,3,$13.50,$1.23,$0.00,2%,1%,0%
Drunken Koi,3,$63.00,$5.73,$7.96,2%,2%,87%
Yuzu Orange Soda,2,$18.00,$1.64,$0.00,1%,1%,0%
Fried Rice,2,$47.00,$4.27,$5.36,1%,2%,89%
Chicken,2,$8.00,$0.72,$0.00,1%,0%,0%
Lemon Lime Bitters,2,$9.00,$0.82,$0.00,1%,0%,0%
1/2 Marinated Egg,2,$0.00,$0.00,$0.00,1%,0%,0%
Angas & Bremer Rosé - Regular,2,$19.20,$1.74,$3.51,1%,1%,82%
Shoyu,2,$29.00,$2.64,$0.00,1%,1%,0%
Chicken Karaage,2,$34.00,$3.10,$0.00,1%,1%,0%
Tonkotsu,2,$58.00,$5.29,$8.33,1%,2%,86%
Yuzu Chu-hi,2,$24.00,$2.18,$4.07,1%,1%,83%
Miso,2,$29.00,$2.64,$0.00,1%,1%,0%
Corona,2,$0.00,$0.00,$5.08,1%,0%,
Pepsi Glass,2,$9.00,$0.82,$2.62,1%,0%,71%
Jasmine Rice,2,$10.00,$0.90,$0.00,1%,0%,0%
Ginger Beer Glass [HG],1,$4.00,$0.36,$0.00,1%,0%,0%
Extra  Piece,1,$5.00,$0.45,$0.00,1%,0%,0%
Dumplings - Veg Gyoza,1,$14.00,$1.27,$1.96,1%,1%,86%
Extra Piece,1,$4.00,$0.36,$0.00,1%,0%,0%
Mie Goreng,1,$23.00,$2.09,$3.18,1%,1%,86%
Crouching Tiger,1,$21.00,$1.91,$4.11,1%,1%,80%
Extra Piece Prawn Toast,1,$5.00,$0.45,$0.00,1%,0%,0%
Rice Pudding,1,$7.60,$0.69,$0.00,1%,0%,0%
Aperol Spritz,1,$14.00,$1.27,$3.70,1%,1%,74%
Apple Juice Glass [HG],1,$4.00,$0.36,$0.00,1%,0%,0%
Orange Juice Glass [HG],1,$4.00,$0.36,$0.00,1%,0%,0%
Swap for Tofu [Make it Vegan],1,$0.00,$0.00,$0.00,1%,0%,0%
River Retreat Pinot Grigio - Regular,1,$12.00,$1.09,$2.01,1%,0%,83%
BBQ Pork Buns,1,$15.00,$1.36,$3.50,1%,1%,77%
,195,"$2,532.00",$230.03,$683.46,100%,100%,73%
