,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Small Plates,19,Stowaway Bar,2026-08-20,,$276.74,$304.40
2,Small Plates,20,Stowaway Bar,2026-08-20,,$129.35,$142.30
3,Add-ons - Pizza,16,Stowaway Bar,2026-08-20,,$0.91,$1.00
4,Modifiers,19,Stowaway Bar,2026-08-20,,$0.00,$0.00
5,Modifiers,20,Stowaway Bar,2026-08-20,,$0.00,$0.00
6,Bottles / Cans Alcoholic,18,Stowaway Bar,2026-08-20,,$28.65,$31.50
7,Bottles / Cans Alcoholic,19,Stowaway Bar,2026-08-20,,$72.73,$80.00
8,Tequila,17,Stowaway Bar,2026-08-20,,$20.00,$22.00
9,Whisky,19,Stowaway Bar,2026-08-20,,$10.00,$11.00
10,Mocktails,18,Stowaway Bar,2026-08-20,,$11.82,$13.00
11,Mocktails,20,Stowaway Bar,2026-08-20,,$11.82,$13.00
12,Tap Beer,21,Stowaway Bar,2026-08-20,,$8.64,$9.50
13,None,18,Stowaway Bar,2026-08-20,,$0.00,$0.00
14,None,16,Stowaway Bar,2026-08-20,,$0.00,$0.00
15,Dine-in Pizza,20,Stowaway Bar,2026-08-20,,$142.75,$157.00
16,Dine-in Pizza,19,Stowaway Bar,2026-08-20,,$140.93,$155.00
17,Vodka,19,Stowaway Bar,2026-08-20,,$10.00,$11.00
18,Rum,18,Stowaway Bar,2026-08-20,,$10.00,$11.00
19,Non-alcoholic,19,Stowaway Bar,2026-08-20,,$58.63,$64.50
20,Marilyna's Soft Drinks,15,Stowaway Bar,2026-08-20,,$3.64,$4.00
21,Tap Beer,19,Stowaway Bar,2026-08-20,,$407.36,$448.10
22,Tap Beer,20,Stowaway Bar,2026-08-20,,$220.91,$243.00
23,White Wine,18,Stowaway Bar,2026-08-20,,$47.27,$52.00
24,White Wine,16,Stowaway Bar,2026-08-20,,$34.35,$37.80
25,White Wine,19,Stowaway Bar,2026-08-20,,$10.91,$12.00
26,Add-ons - Bar,20,Stowaway Bar,2026-08-20,,$0.91,$1.00
27,Add-ons - Kitchen,16,Stowaway Bar,2026-08-20,,$1.82,$2.00
28,Small Plates,18,Stowaway Bar,2026-08-20,,$141.18,$155.30
29,Add-ons - Kitchen,20,Stowaway Bar,2026-08-20,,$1.36,$1.50
30,Vodka,17,Stowaway Bar,2026-08-20,,$10.00,$11.00
31,Marilyna's Soft Drinks,18,Stowaway Bar,2026-08-20,,$0.00,$0.00
32,Marilyna's Soft Drinks,21,Stowaway Bar,2026-08-20,,$7.09,$7.80
33,Marilyna's Soft Drinks,20,Stowaway Bar,2026-08-20,,$7.18,$7.90
34,Tap Beer,17,Stowaway Bar,2026-08-20,,$174.88,$192.35
35,Add-ons - Kitchen,18,Stowaway Bar,2026-08-20,,$2.73,$3.00
36,Big Plates,17,Stowaway Bar,2026-08-20,,$175.08,$192.60
37,Big Plates,16,Stowaway Bar,2026-08-20,,$141.43,$155.60
38,Cocktails - Signature,19,Stowaway Bar,2026-08-20,,$101.82,$112.00
39,Cocktails - Classic,17,Stowaway Bar,2026-08-20,,$267.31,$294.00
40,Mocktails,19,Stowaway Bar,2026-08-20,,$11.83,$13.00
41,Rose Wine,17,Stowaway Bar,2026-08-20,,$21.82,$24.00
42,Red Wine,17,Stowaway Bar,2026-08-20,,$39.09,$43.00
43,None,19,Stowaway Bar,2026-08-20,,$0.00,$0.00
44,Add-ons - Kitchen,19,Stowaway Bar,2026-08-20,,$11.34,$12.50
45,Cocktails - Signature,20,Stowaway Bar,2026-08-20,,$89.08,$98.00
46,Non-alcoholic,16,Stowaway Bar,2026-08-20,,$20.01,$22.00
47,White Wine,17,Stowaway Bar,2026-08-20,,$160.03,$176.00
48,Marilyna's Pizza,20,Stowaway Bar,2026-08-20,,$162.91,$179.20
49,Delivery Kitchen,16,Stowaway Bar,2026-08-20,,$43.64,$48.00
50,Kitchen Specials,17,Stowaway Bar,2026-08-20,,$72.54,$79.80
51,Add-ons - Pizza,17,Stowaway Bar,2026-08-20,,$6.10,$6.46
52,Cocktails - Classic,19,Stowaway Bar,2026-08-20,,$250.96,$276.00
53,Cocktails - Classic,20,Stowaway Bar,2026-08-20,,$54.55,$60.00
54,Vodka,18,Stowaway Bar,2026-08-20,,$42.73,$47.00
55,Non-alcoholic,18,Stowaway Bar,2026-08-20,,$16.36,$18.00
56,Non-alcoholic,21,Stowaway Bar,2026-08-20,,$3.18,$3.50
