Reporting Group Name,Total Quantity,$ Sales,Total Tax,Cost,# of Sales,# of products,% of Quantity,% of Sale Amount,Gross Profit %
Add-ons - Pizza,3,$12.00,$1.08,$0.00,3,1,100%,100%,0%
,3,$12.00,$1.08,$0.00,3,1,100%,100%,0%
