Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,8,$11.54,$0.00,$0.00,7%,1%,0%
Large Margherita,6,$135.00,$12.27,$13.78,5%,7%,90%
Garlic Bread,5,$23.00,$2.09,$7.10,4%,1%,69%
Delivery Fee - Freshwater / Queenscliff,5,$27.50,$2.50,$0.00,4%,2%,0%
Regular Meatlovers,5,$121.45,$11.03,$24.90,4%,7%,79%
Large Pepperoni,5,$128.00,$11.65,$22.82,4%,7%,82%
Large Cosmopolitan,3,$55.00,$5.00,$19.83,3%,3%,64%
Regular Little Italy [Dine-in],3,$88.59,$8.04,$14.41,3%,5%,84%
Add Pepperoni,3,$9.90,$0.90,$0.00,3%,1%,0%
"Large No Chorizo, No Cry",3,$59.40,$5.40,$16.79,3%,3%,72%
Regular Super House Special,3,$64.95,$5.90,$16.58,3%,4%,74%
Regular BBQ Chicken Pizza,3,$70.45,$6.41,$8.96,3%,4%,87%
Large Tandoori Chicken,3,$82.50,$7.50,$9.64,3%,5%,88%
Add Mushrooms,3,$4.95,$0.45,$0.00,3%,0%,0%
Large Super House Special,3,$63.80,$5.80,$23.16,3%,4%,64%
Large Sanchez,3,$89.10,$8.10,$16.47,3%,5%,82%
Online Discount,2,-$21.46,$0.00,$0.00,2%,-1%,0%
Vegan Cheese [Pizza],2,$6.60,$0.60,$0.00,2%,0%,0%
Regular Hail Africa,2,$44.00,$4.00,$5.82,2%,2%,87%
Add Garlic,2,$3.30,$0.30,$0.00,2%,0%,0%
Regular Cosmopolitan,2,$42.90,$3.90,$9.47,2%,2%,78%
Large Bubba Gump,2,$27.50,$2.50,$11.07,2%,2%,60%
Online Rounding,2,$0.02,$0.00,$0.00,2%,0%,0%
Add Bacon,2,$6.16,$0.56,$0.00,2%,0%,0%
Regular Truffalo Soldier,2,$40.70,$3.70,$6.54,2%,2%,84%
Sprite 1.25L,2,$13.60,$1.24,$8.53,2%,1%,37%
Cheesy Garlic Bread,2,$13.20,$1.20,$3.55,2%,1%,73%
$45 FEAST,2,$99.00,$9.00,$0.00,2%,5%,0%
Banquet Deal Pizzas,1,$66.00,$6.00,$0.00,1%,4%,0%
Regular Hawaiian,1,$16.50,$1.50,$1.25,1%,1%,92%
Large El Patron,1,$31.00,$2.82,$5.85,1%,2%,81%
Add Basil,1,$1.10,$0.10,$0.00,1%,0%,0%
.1.25L Coke,1,$0.00,$0.00,$3.69,1%,0%,
.Garlic Bread,1,$0.00,$0.00,$1.42,1%,0%,
Large Hail Africa,1,$14.85,$1.35,$6.24,1%,1%,58%
Large Meatlovers,1,$30.80,$2.80,$6.96,1%,2%,77%
Regular Little Italy,1,$21.45,$1.95,$4.80,1%,1%,78%
Online Delivery Fee,1,$19.95,$0.00,$0.00,1%,1%,0%
Regular Tandoori Chicken,1,$21.45,$1.95,$2.30,1%,1%,89%
Regular Paddock,1,$21.45,$1.95,$3.10,1%,1%,86%
Add Ham,1,$3.30,$0.30,$0.00,1%,0%,0%
Coke Zero 1.25L,1,$7.00,$0.64,$3.98,1%,0%,43%
Gluten-free Hail Africa,1,$31.00,$2.82,$8.91,1%,2%,71%
"Regular No Chorizo, No Cry [Dine-in]",1,$28.60,$2.60,$2.50,1%,2%,91%
Regular Sanchez,1,$21.45,$1.95,$3.39,1%,1%,84%
Coke 1.25L,1,$7.00,$0.64,$3.69,1%,0%,47%
Regular El Patron,1,$21.45,$1.95,$3.64,1%,1%,83%
Delivery Fee - Curl Curl / Manly / Dee Why,1,$7.15,$0.65,$0.00,1%,0%,0%
Add BBQ Sauce,1,$1.65,$0.15,$0.00,1%,0%,0%
BBQ Chicken.,1,$0.00,$0.00,$0.00,1%,0%,0%
Add Fetta,1,$3.30,$0.30,$0.00,1%,0%,0%
Regular Jimmy Jury [Dine-in],1,$29.70,$2.70,$3.34,1%,2%,89%
Large Hawaiian,1,$22.00,$2.00,$3.26,1%,1%,85%
Regular Uber Margherita [Dine-in],1,$26.15,$2.38,$3.19,1%,1%,88%
Large Uber Margherita,1,$0.00,$0.00,$4.46,1%,0%,
"Regular No Chorizo, No Cry",1,$21.45,$1.95,$2.50,1%,1%,88%
Large Truffalo Soldier,1,$13.75,$1.25,$4.56,1%,1%,67%
Add Chilli,1,$1.10,$0.10,$0.00,1%,0%,0%
Add Anchovies,1,$2.20,$0.20,$0.00,1%,0%,0%
,119,"$1,803.45",$163.04,$322.47,100%,100%,82%
