month,group_overheads_ex_rent,stow_overheads,hg_overheads,mari_overheads,mari_uber_fees,mari_uber_only,meu_fees,stock_movement,leave_provision,group_cos_ex_misc,group_payroll,group_finance
2026-05,46439.22,42464.13,15136.55,9083.54,11213.03,10667.08,4682.9,-1561.8,10930.14,102241.8,161660.01,6686.12
2026-06,34549.46,34664.45,12604.03,7525.98,8609.57,7695.23,3265.18,-7201.37,0.0,88051.57,154167.01,3715.37
2026-07,19850.48,25021.91,9473.15,5600.41,9138.16,7968.6,3438.96,0.0,0.0,102216.55,116620.74,3771.54
2026-08,8005.01,11831.93,4581.36,2693.82,282.68,0.0,218.0,0.0,0.0,46956.16,60366.56,1924.32
